Food Name,Portion Size,Calories (kcal)
"Fish, mackerel, spanish, raw",N/A,582
"Fish, mahimahi, raw",N/A,356
"Fish, milkfish, raw",N/A,619
"Fish, monkfish, raw",N/A,318
"Fish, mullet, striped, raw",N/A,490
"Fish, ocean perch, Atlantic, raw",N/A,79
"Fish, perch, mixed species, raw",N/A,381
"Fish, pike, northern, liver (Alaska Native)",N/A,156
"Fish, pike, northern, raw",N/A,368
"Fish, pike, walleye, raw",N/A,389
"Fish, pollock, Alaska, cooked",N/A,362
"Fish, pollock, Alaska, cooked, dry heat (may contain additives to retain moisture)",N/A,464
"Fish, pollock, Alaska, raw",N/A,318
"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",N/A,56
"Fish, pollock, Atlantic, raw",N/A,385
"Fish, pollock, raw",N/A,56
"Fish, pompano, florida, raw",N/A,686
"Fish, pout, ocean, raw",N/A,331
"Fish, rockfish, Pacific, mixed species, raw",N/A,90
"Fish, roughy, orange, raw",N/A,76
"Fish, sablefish, raw",N/A,816
"Fish, salmon, Atlantic, farmed, raw",N/A,208
"Fish, salmon, Atlantic, wild, raw",N/A,594
"Fish, salmon, chinook, raw",N/A,179
"Fish, salmon, chum, raw",N/A,502
"Fish, salmon, coho, farmed, raw",N/A,669
"Fish, salmon, coho, wild, raw",N/A,611
"Fish, salmon, king, chinook, kippered, canned (Alaska Native)",N/A,1110
"Fish, salmon, king, chinook, liver (Alaska Native)",N/A,651
"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",N/A,150
"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",N/A,430
"Fish, salmon, pink, raw",N/A,127
"Fish, sardine, Atlantic, canned in oil, drained solids with bone",N/A,871
"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",N/A,774
"Fish, scup, raw",N/A,440
"Fish, sea bass, mixed species, raw",N/A,406
"Fish, seatrout, mixed species, raw",N/A,435
"Fish, shad, american, raw",N/A,824
"Fish, shark, mixed species, raw",N/A,544
"Fish, sheepshead, raw",N/A,452
"Fish, smelt, rainbow, raw",N/A,406
"Fish, snapper, mixed species, raw",N/A,418
"Fish, spot, raw",N/A,515
"Fish, sturgeon, mixed species, raw",N/A,439
"Fish, sucker, white, raw",N/A,385
"Fish, sunfish, pumpkin seed, raw",N/A,372
"Fish, swordfish, raw",N/A,602
"Fish, tilefish, raw",N/A,402
"Fish, trout, mixed species, raw",N/A,619
"Fish, trout, rainbow, farmed, raw",N/A,141
"Fish, trout, rainbow, wild, raw",N/A,498
"Fish, tuna, fresh, bluefin, raw",N/A,602
"Fish, tuna, fresh, skipjack, raw",N/A,431
"Fish, tuna, fresh, yellowfin, raw",N/A,109
"Fish, turbot, european, raw",N/A,397
"Fish, whitefish, broad, head, eyes, cheeks and soft bones (Alaska Native)",N/A,107
"Fish, whitefish, broad, liver (Alaska Native)",N/A,104
"Fish, whitefish, mixed species, raw",N/A,561
"Fish, whitefish, mixed species, raw (Alaska Native)",N/A,546
"Fish, whiting, mixed species, raw",N/A,377
"Fish, wolffish, Atlantic, raw",N/A,402
"Fish, yellowtail, mixed species, raw",N/A,611
"Game meat , bison, ground, raw",N/A,935
"Game meat , bison, top sirloin, separable lean only, 1"" steak, cooked, broiled",N/A,171
"Game meat, antelope, raw",N/A,477
"Game meat, bear, raw",N/A,674
"Game meat, beaver, raw",N/A,611
"Game meat, bison, chuck, shoulder clod, separable lean only, cooked, braised",N/A,809
"Game meat, bison, chuck, shoulder clod, separable lean only, raw",N/A,119
"Game meat, bison, ground, cooked, pan-broiled",N/A,238
"Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, broiled",N/A,740
"Game meat, bison, ribeye, separable lean only, trimmed to 0"" fat, raw",N/A,485
"Game meat, bison, separable lean only, cooked, roasted",N/A,598
"Game meat, bison, separable lean only, raw",N/A,456
"Game meat, bison, shoulder clod, separable lean only, trimmed to 0"" fat, raw",N/A,456
"Game meat, bison, top round, separable lean only, 1"" steak, cooked, broiled",N/A,174
"Game meat, bison, top round, separable lean only, 1"" steak, raw",N/A,122
"Game meat, bison, top sirloin, separable lean only, trimmed to 0"" fat, raw",N/A,473
"Game meat, boar, wild, raw",N/A,510
"Game meat, buffalo, water, raw",N/A,414
"Game meat, caribou, raw",N/A,531
"Game meat, deer, ground, cooked, pan-broiled",N/A,783
"Game meat, deer, ground, raw",N/A,157
"Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",N/A,150
"Game meat, deer, raw",N/A,502
"Game meat, deer, shoulder clod, separable lean only, cooked, braised",N/A,797
"Game meat, deer, tenderloin, separable lean only, cooked, broiled",N/A,149
"Game meat, deer, top round, separable lean only, 1"" steak, cooked, broiled",N/A,635
"Game meat, elk, ground, cooked, pan-broiled",N/A,193
"Game meat, elk, ground, raw",N/A,722
"Game meat, elk, loin, separable lean only, cooked, broiled",N/A,699
"Game meat, elk, raw",N/A,464
"Game meat, elk, round, separable lean only, cooked, broiled",N/A,156
"Game meat, elk, tenderloin, separable lean only, cooked, broiled",N/A,678
"Game meat, horse, raw",N/A,556
"Game meat, moose, raw",N/A,427
"Game meat, muskrat, raw",N/A,678
"Game meat, opossum, cooked, roasted",N/A,925
"Game meat, rabbit, domesticated, composite of cuts, raw",N/A,569
"Game meat, rabbit, wild, raw",N/A,477
"Game meat, raccoon, cooked, roasted",N/A,255
"Game meat, squirrel, raw",N/A,502
"Garlic, raw",N/A,143
"Garlic, raw",N/A,149
"Ginger root, raw",N/A,333
"Goji berries, dried",N/A,1460
"Goose, domesticated, meat and skin, raw",N/A,1550
"Gooseberries, raw",N/A,184
"Gourd, dishcloth (towelgourd), raw",N/A,20
"Gourd, white-flowered (calabash), raw",N/A,59
"Grape leaves, raw",N/A,390
"Grapefruit, raw, pink and red and white, all areas",N/A,32
"Grapefruit, raw, pink and red, all areas",N/A,42
"Grapefruit, raw, pink and red, California and Arizona",N/A,155
"Grapefruit, raw, pink and red, Florida",N/A,126
"Grapefruit, raw, white, all areas",N/A,33
"Grapefruit, raw, white, California",N/A,155
"Grapefruit, raw, white, Florida",N/A,134
"Grapes, american type (slip skin), raw",N/A,67
"Grapes, muscadine, raw",N/A,238
"Grapes, red or green (European type, such as Thompson seedless), raw",N/A,69
"Groundcherries, (cape-gooseberries or poha), raw",N/A,222
"Guavas, common, raw",N/A,285
"Guavas, strawberry, raw",N/A,289
"Guinea hen, meat and skin, raw",N/A,661
"Hazelnuts, beaked (Northern Plains Indians)",N/A,628
Horned melon (Kiwano),N/A,183
"Huckleberries, raw (Alaska Native)",N/A,37
"Hyacinth beans, mature seeds, raw",N/A,1440
"Hyacinth-beans, immature seeds, raw",N/A,192
"Jackfruit, canned, syrup pack",N/A,385
"Jackfruit, raw",N/A,397
"Java-plum, (jambolan), raw",N/A,251
"Jerusalem-artichokes, raw",N/A,304
"Jew's ear, (pepeao), raw",N/A,105
"Jujube, raw",N/A,331
"Jute, potherb, raw",N/A,142
"Kale, raw",N/A,148
"Kale, raw",N/A,148
"Kiwifruit, green, raw",N/A,58
"Kiwifruit, green, raw",N/A,61
"Kiwifruit, ZESPRI SunGold, raw",N/A,262
"Kohlrabi, raw",N/A,113
"Kumquats, raw",N/A,71
"Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, raw",N/A,1120
"Lambsquarters, raw",N/A,180
"Leeks, (bulb and lower leaf-portion), raw",N/A,255
"Lemon grass (citronella), raw",N/A,414
"Lemons, raw, without peel",N/A,121
"Lentils, raw",N/A,1470
"Lentils, sprouted, raw",N/A,444
"Lettuce, butterhead (includes boston and bibb types), raw",N/A,13
"Lettuce, cos or romaine, raw",N/A,17
